seller;data;tipo;sku;quantity;nf;observ
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271931;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271925;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271911;
PURPOSE;22/11/2023;Saída;JB-POC-FR;1;244271927;
PURPOSE;22/11/2023;Saída;JB-POC-FR;1;244271791;
PURPOSE;22/11/2023;Saída;JB-POC-FR;1;244271911;
PURPOSE;22/11/2023;Saída;JB-POC-IN;1;244271927;
PURPOSE;22/11/2023;Saída;JB-POC-IN;1;244271901;
PURPOSE;22/11/2023;Saída;JB-POC-IN;1;244271895;
PURPOSE;22/11/2023;Saída;JB-POC-IN;1;244271888;
PURPOSE;22/11/2023;Saída;JB-POC-IN;1;244271730;
PURPOSE;22/11/2023;Saída;JB-POC-IN;1;244271911;
PURPOSE;22/11/2023;Saída;JB-POC-IN;1;244271713;
PURPOSE;22/11/2023;Saída;JB-2;1;244271927;
PURPOSE;22/11/2023;Saída;JB-2;1;244271908;
PURPOSE;22/11/2023;Saída;JB-2;1;244271905;
PURPOSE;22/11/2023;Saída;JB-2;1;244271904;
PURPOSE;22/11/2023;Saída;JB-2;1;244271870;
PURPOSE;22/11/2023;Saída;JB-2;2;244271736;
PURPOSE;22/11/2023;Saída;JB-2;1;244271720;
PURPOSE;22/11/2023;Saída;JB-2;2;244271930;
PURPOSE;22/11/2023;Saída;JB-2;1;244271892;
PURPOSE;22/11/2023;Saída;JOUR-BET-BG;1;244271927;
PURPOSE;22/11/2023;Saída;JOUR-BET-BG;1;244271914;
PURPOSE;22/11/2023;Saída;JOUR-BET-BG;1;244271915;
PURPOSE;22/11/2023;Saída;OVERB-EVG;1;244271927;
PURPOSE;22/11/2023;Saída;OVERB-EVG;1;244271895;
PURPOSE;22/11/2023;Saída;OVERB-EVG;1;244271873;
PURPOSE;22/11/2023;Saída;OVERB-EVG;1;244271748;
PURPOSE;22/11/2023;Saída;OVERB-EVG;1;244271730;
PURPOSE;22/11/2023;Saída;OVERB-EVG;1;244271921;
PURPOSE;22/11/2023;Saída;OVERB-EVG;1;244271915;
PURPOSE;22/11/2023;Saída;BBJ-RS;2;244271926;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271891;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271882;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271878;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271877;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271739;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271738;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271727;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271700;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271929;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271924;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271740;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271737;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271734;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271723;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271721;
PURPOSE;22/11/2023;Saída;BBJ-RS;1;244271713;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;1;244271920;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;3;244271918;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;1;244271907;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;1;244271736;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;1;244271722;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;1;244271923;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;1;244271729;
PURPOSE;22/11/2023;Saída;KIT-AD-EST;1;244271716;
PURPOSE;22/11/2023;Saída;PL-EST-VGR;1;244271920;
PURPOSE;22/11/2023;Saída;PL-EST-VGR;1;244271918;
PURPOSE;22/11/2023;Saída;PL-EST-VGR;1;244271907;
PURPOSE;22/11/2023;Saída;PL-EST-VGR;1;244271722;
PURPOSE;22/11/2023;Saída;JOURCAN-CF;1;244271918;
PURPOSE;22/11/2023;Saída;JOURCAN-CF;1;244271888;
PURPOSE;22/11/2023;Saída;JOURCAN-CF;1;244271730;
PURPOSE;22/11/2023;Saída;JOURCAN-CF;1;244271722;
PURPOSE;22/11/2023;Saída;PL-EST-MT;1;244271918;
PURPOSE;22/11/2023;Saída;PL-EST-MT;1;244271716;
PURPOSE;22/11/2023;Saída;PL-EST-RFLO;1;244271918;
PURPOSE;22/11/2023;Saída;PL-EST-RFLO;1;244271736;
PURPOSE;22/11/2023;Saída;PL-EST-RFLO;1;244271923;
PURPOSE;22/11/2023;Saída;NJ-BG;1;244271916;
PURPOSE;22/11/2023;Saída;NJ-BG;1;244271723;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;3;244271916;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;2;244271739;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;1;244271738;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;1;244271733;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;2;244271714;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;1;244271710;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;5;244271700;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;1;244271917;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;1;244271909;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;2;244271740;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;1;244271734;
PURPOSE;22/11/2023;Saída;CTL-AD-BBJ;3;244271724;
PURPOSE;22/11/2023;Saída;MIO-BBJ;3;244271916;
PURPOSE;22/11/2023;Saída;MIO-BBJ;2;244271739;
PURPOSE;22/11/2023;Saída;MIO-BBJ;1;244271738;
PURPOSE;22/11/2023;Saída;MIO-BBJ;1;244271733;
PURPOSE;22/11/2023;Saída;MIO-BBJ;2;244271714;
PURPOSE;22/11/2023;Saída;MIO-BBJ;5;244271700;
PURPOSE;22/11/2023;Saída;MIO-BBJ;1;244271917;
PURPOSE;22/11/2023;Saída;MIO-BBJ;1;244271909;
PURPOSE;22/11/2023;Saída;MIO-BBJ;2;244271740;
PURPOSE;22/11/2023;Saída;MIO-BBJ;1;244271734;
PURPOSE;22/11/2023;Saída;MIO-BBJ;3;244271724;
PURPOSE;22/11/2023;Saída;NJ-VD;1;244271916;
PURPOSE;22/11/2023;Saída;NJ-VD;1;244271913;
PURPOSE;22/11/2023;Saída;NJ-VD;1;244271910;
PURPOSE;22/11/2023;Saída;NJ-VD;1;244271715;
PURPOSE;22/11/2023;Saída;NJ-VD;1;244271714;
PURPOSE;22/11/2023;Saída;NJ-MR;1;244271916;
PURPOSE;22/11/2023;Saída;NJ-MR;1;244271903;
PURPOSE;22/11/2023;Saída;6342;1;244271913;
PURPOSE;22/11/2023;Saída;JOURCAN-TZ;1;244271910;
PURPOSE;22/11/2023;Saída;JOURCAN-TZ;1;244271904;
PURPOSE;22/11/2023;Saída;JOURCAN-TZ;1;244271883;
PURPOSE;22/11/2023;Saída;JOURCAN-TZ;1;244271915;
PURPOSE;22/11/2023;Saída;LVR-GL;1;244271910;
PURPOSE;22/11/2023;Saída;LVR-GL;1;244271904;
PURPOSE;22/11/2023;Saída;LVR-GL;1;244271887;
PURPOSE;22/11/2023;Saída;LVR-GL;1;244271717;
PURPOSE;22/11/2023;Saída;JB-UVV;1;244271910;
PURPOSE;22/11/2023;Saída;JB-UVV;2;244271896;
PURPOSE;22/11/2023;Saída;JB-UVV;1;244271887;
PURPOSE;22/11/2023;Saída;CDRN;1;244271910;
PURPOSE;22/11/2023;Saída;CDRN;1;244271722;
PURPOSE;22/11/2023;Saída;JOURCAN-FL;1;244271908;
PURPOSE;22/11/2023;Saída;JOURCAN-FL;2;244271736;
PURPOSE;22/11/2023;Saída;Kit-MM-II;1;244271907;
PURPOSE;22/11/2023;Saída;Kit-MM-II;1;244271889;
PURPOSE;22/11/2023;Saída;Kit-MM-II;1;244271732;
PURPOSE;22/11/2023;Saída;Kit-MM-II;2;244271730;
PURPOSE;22/11/2023;Saída;Kit-MM-II;1;244271939;
PURPOSE;22/11/2023;Saída;JB-RST;1;244271906;
PURPOSE;22/11/2023;Saída;JB-RST;1;244271890;
PURPOSE;22/11/2023;Saída;JB-RST;1;244271880;
PURPOSE;22/11/2023;Saída;JB-RST;1;244271879;
PURPOSE;22/11/2023;Saída;JB-RST;1;244271912;
PURPOSE;22/11/2023;Saída;JB-RST;1;244271892;
PURPOSE;22/11/2023;Saída;CDJD;1;244271905;
PURPOSE;22/11/2023;Saída;CDJD;1;244271903;
PURPOSE;22/11/2023;Saída;JOUR-BET-MR;1;244271904;
PURPOSE;22/11/2023;Saída;JOUR-BET-MR;1;244271875;
PURPOSE;22/11/2023;Saída;PL-BK-MR;1;244271904;
PURPOSE;22/11/2023;Saída;PL-BK-MR;1;244271887;
PURPOSE;22/11/2023;Saída;PL-BK-MR;1;244271722;
PURPOSE;22/11/2023;Saída;PL-BK-MR;1;244271931;
